Zipcode;City;Region
1200;Genève Les Acacias;GE
1200;Genève 4;GE
1200;Genève 7;GE
1200;Genève 13;GE
1200;Genève 19;GE
1200;Genève 21;GE
1200;Genève Dist Ba;GE
1201;Genève;GE
1202;Genève;GE
1203;Genève;GE
1204;Genève;GE
1205;Genève;GE
1206;Genève;GE
1207;Genève;GE
1208;Genève;GE
1209;Genève;GE
1211;Genève 2;GE
1211;Genève 4;GE
1211;Genève 10;GE
1211;Genève 13;GE
1211;Genève 26;GE
1211;Genève 71 CS CP;GE
1211;Genève 84 Votation;GE
1211;Genève 26 Caserne;GE
1211;Genf SPS;GE
1211;Genève;GE
1211;Genève 12;GE
1211;Genève 20;GE
1211;Genève 22;GE
1211;Genève 23;GE
1211;Genève 28;GE
1211;Genève 14;GE
1211;Genève 70;GE
1211;Genève 5;GE
1211;Genève 1;GE
1211;Genève 3;GE
1211;Genève 6;GE
1211;Genève 8;GE
1211;Genève 11;GE
1211;Genève 19;GE
1211;Genève 27;GE
1211;Genève 5 Dépôt;GE
1211;Genève 73;GE
1211;Genève 80;GE
1212;Grand-Lancy;GE
1212;Grand-Lancy 1;GE
1212;Grand-Lancy Dist;GE
1213;Petit-Lancy 2;GE
1213;Petit-Lancy;GE
1213;Petit-Lancy 1;GE
1213;Onex;GE
1213;Petit-Lancy Dist;GE
1214;Vernier Dist;GE
1214;Vernier;GE
1214;Vernier r. Village;GE
1215;Genève;GE
1215;Genève 15 Dépôt;GE
1215;Genève ICC OLS;GE
1216;Cointrin;GE
1217;Meyrin;GE
1217;Meyrin 1;GE
1217;Meyrin 2;GE
1217;Meyrin Dist;GE
1218;Le Grand-Saconnex;GE
1218;Grand-Saconnex D;GE
1219;Le Lignon;GE
1219;Châtelaine;GE
1219;Le Lignon Dist;GE
1219;Aïre;GE
1220;Les Avanchets;GE
1222;Vésenaz;GE
1222;Vésenaz Dist;GE
1223;Cologny;GE
1223;Cologny Dist;GE
1224;Chêne-Bougeries;GE
1224;Chêne-Bouger Grad;GE
1225;Chêne-Bourg Dist;GE
1225;Chêne-Bourg;GE
1226;Thônex;GE
1227;Carouge GE;GE
1227;Carouge GE Dist;GE
1227;Les Acacias;GE
1227;Genève PF Fil Car;GE
1227;Les Acacias R.G.L;GE
1228;Plan-les-Ouates;GE
1228;Plan-les-Oua Pl. A;GE
1231;Conches;GE
1232;Confignon;GE
1232;Confignon Cressy;GE
1233;Bernex Dist;GE
1233;Bernex;GE
1234;Vessy;GE
1236;Cartigny;GE
1237;Avully;GE
1239;Collex;GE
1240;Genève;GE
1241;Puplinge;GE
1242;Satigny;GE
1242;Satigny Aire Ville;GE
1243;Presinge;GE
1244;Choulex;GE
1245;Collonge-Bellerive;GE
1246;Corsier GE;GE
1247;Anières;GE
1248;Hermance;GE
1251;Gy;GE
1252;Meinier;GE
1253;Vandoeuvres;GE
1254;Jussy;GE
1255;Veyrier;GE
1256;Troinex;GE
1257;La Croix-de-Rozon;GE
1258;Perly;GE
1260;Nyon;VD
1260;Nyon 2;VD
1260;Nyon 1;VD
1260;Nyon 1 Dist;VD
1260;Nyon car postal;VD
1261;Le Vaud;VD
1261;Longirod;VD
1261;Marchissy;VD
1262;Eysins;VD
1263;Crassier;VD
1264;St-Cergue;VD
1265;La Cure;VD
1266;Duillier;VD
1267;Coinsins;VD
1267;Vich;VD
1268;Burtigny;VD
1268;Begnins;VD
1269;Bassins;VD
1270;Trélex;VD
1271;Givrins;VD
1272;Genolier;VD
1273;Arzier-Le Muids;VD
1274;Grens;VD
1274;Signy-Centre;VD
1274;Signy;VD
1275;Chéserex;VD
1276;Gingins;VD
1277;Borex;VD
1277;Arnex-sur-Nyon;VD
1278;La Rippe;VD
1279;Chavannes-de-Bogis;VD
1279;Chavannes-Bogis LS;VD
1279;Bogis-Bossey;VD
1281;Russin;GE
1283;Dardagny;GE
1283;La Plaine;GE
1284;Chancy;GE
1285;Athenaz (Avusy);GE
1286;Soral;GE
1287;Laconnex;GE
1288;Aire-la-Ville;GE
1290;Versoix;GE
1290;Chavannes-des-Bois;VD
1290;Versoix Dist;GE
1291;Commugny;VD
1292;Chambésy;GE
1293;Bellevue;GE
1294;Genthod;GE
1295;Mies;VD
1295;Tannay;VD
1296;Coppet Dist;VD
1296;Coppet;VD
1297;Founex;VD
1298;Céligny;GE
1299;Crans VD;VD
1300;Eclépens CC;VD
1300;Eclépens SAB;VD
1300;Eclépens RevProtec;VD
1300;Eclépens CC Dépôt;VD
1300;Eclépens CC AP;VD
1300;Eclépens AVJ;VD
1300;Eclépens Clinique;VD
1302;Vufflens-la-Ville;VD
1303;Penthaz;VD
1304;Allens;VD
1304;Dizy;VD
1304;Senarclens;VD
1304;Cossonay-Ville;VD
1305;Penthalaz Dist;VD
1305;Penthalaz;VD
1306;Daillens;VD
1307;Lussery-Villars;VD
1308;La Chaux-Cossonay;VD
1310;Daillens SPS;VD
1310;Daillens Dist Ba;VD
1310;Daillens Centre Co;VD
1310;Daillens PL3;VD
1311;Eclépens SC;VD
1312;Eclépens;VD
1313;Ferreyres;VD
1315;La Sarraz;VD
1316;Chevilly;VD
1317;Orny;VD
1318;Pompaples;VD
1320;Daillens CIRCLE;VD
1321;Arnex-sur-Orbe;VD
1322;Croy;VD
1323;Romainmôtier;VD
1324;Premier;VD
1325;Vaulion;VD
1326;Juriens;VD
1329;Bretonnières;VD
1330;Daillens CALL;VD
1337;Vallorbe;VD
1338;Ballaigues;VD
1341;L'Orient;VD
1342;Le Pont;VD
1343;Les Charbonnières;VD
1344;L'Abbaye;VD
1345;Le Lieu;VD
1345;Le Séchey;VD
1346;Les Bioux;VD
1347;Le Sentier;VD
1347;Le Solliat;VD
1347;Le Sentier Dist;VD
1348;Le Brassus;VD
1350;Orbe;VD
1350;Orbe Distribution;VD
1352;Agiez;VD
1353;Bofflens;VD
1354;Montcherand;VD
1355;Sergey;VD
1355;L'Abergement;VD
1356;Les Clées;VD
1356;La Russille;VD
1357;Lignerolle;VD
1358;Valeyres-Rances;VD
1372;Bavois;VD
1373;Chavornay;VD
1374;Corcelles-Chavorn;VD
1375;Penthéréaz;VD
1376;Goumoens-le-Jux;VD
1376;Goumoens-la-Ville;VD
1376;Eclagnens;VD
1377;Oulens-Echallens;VD
1400;Yverdon-les-Bains;VD
1400;Yverdon 2;VD
1400;Yverdon Villette;VD
1400;Yverdon Dist;VD
1400;Yverdon 1;VD
1400;Yverdon car postal;VD
1400;Yverdon Ch-Lovats;VD
1400;Cheseaux-Noréaz;VD
1400;Yverdon Caserne;VD
1401;Yverdon Conseil;VD
1401;Yverdon-les-Bains;VD
1404;Cuarny;VD
1404;Villars-Epeney;VD
1405;Pomy;VD
1406;Cronay;VD
1407;Donneloye;VD
1407;Mézery-Donneloye;VD
1407;Bioley-Magnoux;VD
1407;Gossens;VD
1408;Prahins;VD
1409;Chanéaz;VD
1410;Prévondavaux;FR
1410;Thierrens;VD
1410;St-Cierges;VD
1410;Correvon;VD
1410;Denezy;VD
1412;Valeyres-Ursins;VD
1412;Ursins;VD
1413;Orzens;VD
1415;Démoret;VD
1415;Molondin;VD
1416;Pailly;VD
1417;Epautheyres;VD
1417;Essertines-Yverdon;VD
1418;Vuarrens;VD
1420;Fiez;VD
1421;Fontaines-Grandson;VD
1421;Grandevent;VD
1422;Grandson;VD
1423;Fontanezier;VD
1423;Villars-Burquin;VD
1423;Romairon;VD
1423;Vaugondry;VD
1424;Champagne;VD
1425;Onnens VD;VD
1426;Concise;VD
1426;Corcelles-Concise;VD
1427;Bonvillars;VD
1428;Provence;VD
1428;Mutrux;VD
1429;Giez;VD
1430;Orges;VD
1431;Vugelles-La Mothe;VD
1431;Novalles;VD
1432;Belmont-Yverdon;VD
1432;Gressy;VD
1433;Suchy;VD
1434;Ependes VD;VD
1435;Essert-Pittet;VD
1436;Chamblon;VD
1436;Treycovagnes;VD
1437;Suscévaz;VD
1438;Mathod;VD
1439;Rances;VD
1440;Montagny-Chamard;VD
1440;Montagny-Ch. Cham.;VD
1441;Valeyres-Montagny;VD
1442;Montagny-Yverdon;VD
1443;Champvent;VD
1443;Essert-s-Champvent;VD
1443;Villars-Champvent;VD
1445;Vuiteboeuf;VD
1446;Baulmes;VD
1450;La Sagne VD;VD
1450;Ste-Croix;VD
1450;Le Château-Croix;VD
1452;Les Rasses;VD
1453;Mauborget;VD
1453;Bullet;VD
1454;L'Auberson;VD
1454;La Vraconnaz;VD
1462;Yvonand;VD
1463;Rovray;VD
1464;Chavannes-le-Chêne;VD
1464;Chêne-Pâquier;VD
1468;Cheyres;FR
1470;Seiry;FR
1470;Lully FR;FR
1470;Estavayer-le-Lac;FR
1470;Bollion;FR
1473;Font;FR
1473;Châtillon FR;FR
1474;Châbles FR;FR
1475;Autavaux;FR
1475;Forel FR;FR
1475;Montbrelloz;FR
1482;Cugy FR;FR
1483;Frasses;FR
1483;Vesin;FR
1483;Montet (Broye);FR
1484;Granges-de-Vesin;FR
1484;Aumont;FR
1485;Nuvilly;FR
1486;Vuissens;FR
1489;Murist;FR
1509;Vucherens;VD
1510;Syens;VD
1510;Moudon;VD
1510;Moudon Dist;VD
1510;Moudon Caserne;VD
1512;Chavannes-s-Moudon;VD
1513;Hermenches;VD
1513;Rossenges;VD
1514;Bussy-sur-Moudon;VD
1515;Neyruz-sur-Moudon;VD
1515;Villars-le-Comte;VD
1521;Curtilles;VD
1522;Lucens;VD
1522;Oulens-sur-Lucens;VD
1523;Granges-Marnand;VD
1524;Marnand;VD
1525;Henniez;VD
1525;Seigneux;VD
1526;Cremin;VD
1526;Forel-sur-Lucens;VD
1527;Villeneuve FR;FR
1528;Praratoud;FR
1528;Surpierre;FR
1529;Cheiry;FR
1530;Payerne;VD
1530;Payerne Caserne;VD
1530;Payerne Dist;VD
1532;Fétigny;FR
1532;Fétigny Dist Fil;FR
1532;Fétigny PL3;FR
1533;Ménières;FR
1534;Sassel;VD
1534;Chapelle (Broye);FR
1535;Combremont-Grand;VD
1536;Combremont-Petit;VD
1537;Champtauroz;VD
1538;Treytorrens-Payern;VD
1541;Morens FR;FR
1541;Bussy FR;FR
1541;Sévaz;FR
1542;Rueyres-les-Prés;FR
1543;Grandcour;VD
1544;Gletterens;FR
1545;Chevroux;VD
1551;Vers-chez-Perrin;VD
1552;Trey;VD
1553;Châtonnaye;FR
1554;Sédeilles;VD
1554;Rossens VD;VD
1555;Villarzel;VD
1562;Corcelles-Payerne;VD
1563;Dompierre FR;FR
1564;Domdidier;FR
1565;Vallon;FR
1565;Missy;VD
1566;Les Friques;FR
1566;St-Aubin FR;FR
1567;Delley;FR
1568;Portalban;FR
1580;Avenches;VD
1580;Oleyres;VD
1580;Avenches Dist;VD
1580;Donatyre;VD
1583;Villarepos;FR
1584;Villars-le-Grand;VD
1585;Salavaux;VD
1585;Bellerive VD;VD
1585;Cotterd;VD
1586;Vallamand;VD
1587;Constantine;VD
1587;Montmagny;VD
1588;Cudrefin;VD
1589;Chabrey;VD
1595;Clavaleyres;FR
1595;Faoug;VD
1607;Palézieux;VD
1607;Les Tavernes;VD
1607;Les Thioleyres;VD
1607;Palézieux Dist;VD
1607;Palézieux-Village;VD
1608;Chapelle (Glâne);FR
1608;Oron-le-Châtel;VD
1608;Bussigny-sur-Oron;VD
1608;Chesalles-sur-Oron;VD
1609;St-Martin FR;FR
1609;Besencens;FR
1609;Fiaugères;FR
1610;Vuibroye;VD
1610;Oron-la-Ville;VD
1610;Châtillens;VD
1611;Le Crêt-p-Semsales;FR
1612;Ecoteaux;VD
1613;Maracon;VD
1614;Granges (Veveyse);FR
1615;Bossonnens;FR
1616;Attalens;FR
1617;Remaufens;FR
1617;Tatroz;FR
1618;Châtel-Denis Dist;FR
1618;Châtel-St-Denis;FR
1619;Les Paccots;FR
1623;Semsales;FR
1624;La Verrerie;FR
1624;Progens;FR
1624;Grattavache;FR
1625;Sâles (Gruyère);FR
1625;Maules;FR
1626;Romanens;FR
1626;Treyfayes;FR
1626;Rueyres-Treyfayes;FR
1627;Vaulruz;FR
1628;Vuadens;FR
1630;Bulle 1 Dist;FR
1630;Bulle Dist Fil;FR
1630;Bulle Moulin;FR
1630;Bulle Gare TPF;FR
1630;Bulle Jardins P.L.;FR
1630;Bulle;FR
1631;Bulle;FR
1632;Riaz;FR
1633;Vuippens;FR
1633;Marsens;FR
1634;La Roche FR;FR
1635;La Tour-de-Trême;FR
1636;Broc;FR
1637;Charmey (Gruyère);FR
1638;Morlon;FR
1642;Sorens;FR
1643;Gumefens;FR
1644;Avry-devant-Pont;FR
1645;Le Bry;FR
1646;Echarlens;FR
1647;Corbières;FR
1648;Hauteville;FR
1649;Pont-la-Ville;FR
1651;Villarvolard;FR
1652;Villarbeney;FR
1652;Botterens;FR
1653;Châtel-Montsalvens;FR
1653;Crésuz;FR
1654;Cerniat FR;FR
1656;Im Fang;FR
1656;Jaun;FR
1657;Abländschen;BE
1658;Rossinière;VD
1658;La Tine;VD
1659;Rougemont;VD
1659;Flendruz;VD
1660;Les Moulins;VD
1660;L'Etivaz;VD
1660;La Lécherette;VD
1660;Château-d'Oex;VD
1661;Pâquier-Montbarry;FR
1663;Moléson-s-Gruyères;FR
1663;Pringy;FR
1663;Gruyères;FR
1663;Epagny;FR
1663;Gruyères V. Ville;FR
1665;Estavannens;FR
1666;Villars-sous-Mont;FR
1666;Grandvillard;FR
1667;Enney;FR
1669;Montbovon;FR
1669;Lessoc;FR
1669;Neirivue;FR
1669;Albeuve;FR
1669;Sciernes-d'Albeuve;FR
1670;Ursy;FR
1670;Bionnens;FR
1670;Esmonts;FR
1673;Auboranges;FR
1673;Ecublens FR;FR
1673;Rue;FR
1673;Gillarens;FR
1673;Promasens;FR
1674;Morlens;FR
1674;Vuarmarens;FR
1674;Montet (Glâne);FR
1675;Vauderens;FR
1675;Mossel;FR
1675;Blessens;FR
1676;Chavannes-Forts;FR
1677;Prez-vers-Siviriez;FR
1678;Siviriez;FR
1679;Villaraboud;FR
1680;Berlens;FR
1680;Romont FR;FR
1680;Romont FR Dist;FR
1680;Romont Caserne;FR
1680;Romont FR AncFerme;FR
1681;Hennens;FR
1681;Billens;FR
1682;Dompierre VD;VD
1682;Villars-Bramard;VD
1682;Lovatens;VD
1682;Prévonloup;VD
1682;Cerniaz VD;VD
1683;Brenles;VD
1683;Chesalles-Moudon;VD
1683;Sarzens;VD
1684;Mézières FR;FR
1685;Villariaz;FR
1686;Grangettes-Romont;FR
1686;La Neirigue;FR
1687;La Magne;FR
1687;Estévenens;FR
1687;Vuisternens-Romont;FR
1688;Lieffrens;FR
1688;Sommentier;FR
1689;Châtelard-p-Romont;FR
1690;Lussy FR;FR
1690;Villaz-St-Pierre;FR
1691;Villarimboud;FR
1692;Massonnens;FR
1694;Villargiroud;FR
1694;Orsonnens;FR
1694;Villarsiviriaux;FR
1694;Chavannes-Orsonnen;FR
1695;Villarlod;FR
1695;Estavayer-Gibloux;FR
1695;Villarsel-Gibloux;FR
1695;Rueyres-St-Laurent;FR
1696;Vuisternens-Ogoz;FR
1697;Les Ecasseys;FR
1697;La Joux FR;FR
1699;Bouloz;FR
1699;Porsel;FR
1699;Pont (Veveyse);FR
1700;Fribourg;FR
1700;Fribourg Caserne;FR
1700;Fribourg Pérolles;FR
1700;Fribourg 1 Dist;FR
1700;Fribourg 1 Dépôt;FR
1700;Fribourg Rte Glâne;FR
1700;Fribourg 1;FR
1700;Fribourg PF Fil.;FR
1701;Fribourg;FR
1702;Fribourg;FR
1704;Fribourg;FR
1707;Fribourg;FR
1708;Fribourg;FR
1709;Fribourg Beaumont;FR
1712;Tafers;FR
1713;St. Antoni;FR
1714;Heitenried;FR
1715;Alterswil FR;FR
1716;Oberschrot;FR
1716;Schwarzsee;FR
1716;Plaffeien;FR
1717;St. Ursen;FR
1718;Rechthalten;FR
1719;Zumholz;FR
1719;Brünisried;FR
1720;Chésopelloz;FR
1720;Corminboeuf;FR
1721;Misery-Courtion;FR
1721;Cormérod;FR
1721;Misery;FR
1721;Cournillens;FR
1721;Courtion;FR
1722;Bourguillon;FR
1723;Marly;FR
1723;Pierrafortscha;FR
1723;Villarsel-Marly;FR
1723;Marly 1;FR
1723;Marly Grand Pré;FR
1723;Marly Rte Châtelet;FR
1724;Le Mouret;FR
1724;Senèdes;FR
1724;Zénauva;FR
1724;Bonnefontaine;FR
1724;Essert FR;FR
1724;Ferpicloz;FR
1724;Montévraz;FR
1724;Oberried FR;FR
1725;Posieux;FR
1726;Farvagny-le-Grand;FR
1726;Farvagny-le-Petit;FR
1726;Grenilles;FR
1726;Posat;FR
1727;Corpataux;FR
1727;Magnedens;FR
1728;Rossens FR;FR
1730;Ecuvillens;FR
1731;Ependes FR;FR
1732;Arconciel;FR
1733;Treyvaux;FR
1734;Tentlingen;FR
1735;Giffers;FR
1736;St. Silvester;FR
1737;Plasselb;FR
1738;Sangernboden;BE
1740;Neyruz FR;FR
1741;Cottens FR;FR
1742;Autigny;FR
1744;Chénens;FR
1745;Lentigny;FR
1746;Prez-vers-Noréaz;FR
1747;Corserey;FR
1748;Torny-le-Grand;FR
1749;Middes;FR
1752;Villars-s-Glâne D.;FR
1752;Villars-sur-Glâne;FR
1752;Villars-Glâne 1;FR
1753;Matran;FR
1754;Corjolens;FR
1754;Avry-sur-Matran;FR
1754;Avry-Centre FR;FR
1756;Onnens FR;FR
1756;Lovens;FR
1757;Noréaz;FR
1762;Givisiez;FR
1762;Givisiez Dist Ba;FR
1763;Granges-Paccot;FR
1772;Grolley;FR
1772;Nierlet-les-Bois;FR
1772;Ponthaux;FR
1773;Russy;FR
1773;Léchelles;FR
1773;Chandon;FR
1774;Cousset;FR
1774;Montagny-les-Monts;FR
1775;Mannens;FR
1775;Grandsivaz;FR
1776;Montagny-la-Ville;FR
1782;La Corbaz;FR
1782;Lossy;FR
1782;Belfaux;FR
1782;Cormagens;FR
1782;Autafond;FR
1782;Formangueires;FR
1783;Pensier;FR
1783;Barberêche;FR
1784;Courtepin;FR
1784;Wallenried;FR
1785;Cressier FR;FR
1786;Sugiez;FR
1787;Mur (Vully) VD;VD
1787;Môtier (Vully);FR
1787;Mur (Vully) FR;FR
1788;Praz (Vully);FR
1789;Lugnorre;FR
1791;Courtaman;FR
1792;Guschelmuth;FR
1792;Cordast;FR
1793;Jeuss;FR
1794;Salvenach;FR
1795;Courlevon;FR
1796;Courgevaux;FR
1797;Münchenwiler;BE
1800;Vevey;VD
1800;Vevey 1 Dist;VD
1800;Vevey Orient;VD
1800;Vevey Av G. Guisan;VD
1800;Vevey 1;VD
1801;Le Mont-Pèlerin;VD
1802;Corseaux;VD
1803;Chardonne;VD
1804;Corsier-sur-Vevey;VD
1805;Jongny;VD
1806;St-Légier Dist;VD
1806;St-Légier-Chiésaz;VD
1807;Blonay;VD
1808;Monts-de-Corsier;VD
1809;Fenil-sur-Corsier;VD
1811;Vevey;VD
1814;La Tour-de-Peilz;VD
1815;Clarens;VD
1815;Clarens Collège;VD
1816;Chailly-Montreux;VD
1816;Chailly Dist;VD
1817;Brent;VD
1818;Montreux Redoute;VD
1820;Montreux 1;VD
1820;Territet;VD
1820;Montreux;VD
1820;Montreux 2;VD
1820;Montreux 1 Dist;VD
1820;Veytaux;VD
1822;Chernex;VD
1823;Glion;VD
1824;Caux;VD
1832;Villard-sur-Chamby;VD
1832;Chamby;VD
1833;Les Avants;VD
1844;Villeneuve VD;VD
1844;Villeneuve VD C.S.;VD
1845;Noville;VD
1846;Chessel;VD
1847;Rennaz;VD
1852;Roche VD;VD
1853;Yvorne;VD
1854;Leysin Dist;VD
1854;Leysin;VD
1856;Corbeyrier;VD
1860;Aigle Distribution;VD
1860;Aigle;VD
1860;Aigle Chem. Orlons;VD
1862;La Comballaz;VD
1862;Les Mosses;VD
1863;Le Sépey;VD
1864;Vers-l'Eglise;VD
1865;Les Diablerets;VD
1866;La Forclaz VD;VD
1867;Panex;VD
1867;St-Triphon;VD
1867;Ollon VD;VD
1868;Collombey;VS
1869;Massongex;VS
1870;Monthey Ave gare;VS
1870;Monthey 2;VS
1870;Monthey;VS
1870;Monthey 1 Dist;VS
1871;Les Giettes;VS
1871;Choëx;VS
1872;Troistorrents;VS
1873;Val-d'Illiez;VS
1873;Les Crosets;VS
1873;Champoussin;VS
1874;Champéry;VS
1875;Morgins;VS
1880;Fenalet-sur-Bex;VD
1880;Bex Distribution;VD
1880;Les Posses-sur-Bex;VD
1880;Les Plans-sur-Bex;VD
1880;Bex;VD
1880;Frenières-sur-Bex;VD
1882;Gryon;VD
1884;Huémoz;VD
1884;Villars-sur-Ollon;VD
1884;Arveyes;VD
1885;Chesières;VD
1890;Mex VS;VS
1890;St-Maurice;VS
1890;St-Maurice Caserne;VS
1891;Vérossaz;VS
1892;Lavey-Village;VD
1892;Lavey-les-Bains;VD
1892;Morcles;VD
1893;Muraz (Collombey);VS
1895;Vionnaz;VS
1896;Miex;VS
1896;Vouvry;VS
1897;Bouveret;VS
1897;Les Evouettes;VS
1898;St-Gingolph;VS
1899;Torgon;VS
1902;Evionnaz;VS
1903;Collonges;VS
1904;Vernayaz;VS
1905;Dorénaz;VS
1905;Dorénaz PA;VS
1906;Charrat;VS
1907;Saxon;VS
1908;Riddes;VS
1911;Ovronnaz;VS
1912;Produit (Leytron);VS
1912;Montagnon (Leytron;VS
1912;Leytron;VS
1912;Dugny (Leytron);VS
1913;Saillon;VS
1914;Auddes-sur-Riddes;VS
